null|Bhabha Public School|1,Adjoining Stadium,Chitrakoot Scheme,Ajmer Road,Jaipur|N/A|RJ|302021|null|Dr.Mrs.Sushma Sharma|0141-2440561|Principal|principalbhabha@gmail.com|Asia/Kolkata|IN
null|Bharatiya Vidya Bhavan Vidyashram Pratapnagar|Bharatiya Vidya Bhavan Vidyashram Pratapnagar, Sector 26, Opp. Dwarikapuri, Near Nri Circle, Pratapnagar, Sanganer, Jaipur - 302 033 (Raj.) India|N/A|RJ|302033|null|Mrs.Priyadarshini Kachhwaha|0141-2796206 210 212-216|Principal|jprvidyashramprtp@yahoo.in|Asia/Kolkata|IN
null|Bharti Vidya Bhawan|Link Road, Ratitalai, Banswara, Rajasthan|N/A|RJ|327001|null|Vishnu Kanta|02962-241050|Principal|binoda@yahoo.com|Asia/Kolkata|IN
null|Bhartiya Public School|Sanwali Road By Pass Circle Sikar Rajasthan|N/A|RJ|332001|null|Mr. Abdul Rashid Solanki|01572 320421|Principal|hrranwa@rediffmail.com|Asia/Kolkata|IN
null|Bhartiya Vidya Bhavan'S Vidyashram|Opp Ots Km Munshi Marg Jaipur Rajasthan|N/A|RJ|302015|null|Mrs. Niti Mahendra|0141 2711283|Principal|vidyasharm@email.com|Asia/Kolkata|IN
null|Bhopal Noble'S Public School|Old Station Road B N Campus Udaipur Rajasthan|N/A|RJ|313001|null|Mr. Rajrishi Sharma|0294 2426018|Principal|rajr_sharma@rediffmail.com|Asia/Kolkata|IN
null|Bihani Childerns Academy|Sriganga Nagar Gaganpath Jawahar Nagar Sriganga Nagar Rajasthan|N/A|RJ|335001|null|Mr. Mr Ajay Kumar Pandey|0154 2461807|Principal|bihanisgnr_001@yahoo.com|Asia/Kolkata|IN
null|Birla Balika Vidyapeeth|P O Pilani Jhunjhunu Distt Rajasthan|N/A|RJ|333031|null|Mrs. Dr. M Kasturi|01596 242548|Principal|prn_bbvpilani@rediffmail.com|Asia/Kolkata|IN
null|Birla International School Kishangarh|82 Km Milestone, Jaipur- Ajmer Highway Nh8, P.O.Bander Sindiri, Madanganj - Kishangarh Dist. Ajmer- 305001|N/A|RJ|305001|null|Mr Pramod Kumar Ranwaka|01463-302334|Principal|bisk.principal@gmail.com|Asia/Kolkata|IN
null|Birla Shiksha Kendra|Madhar Nagar Chittorgarh Rajasthan|N/A|RJ|312021|null|Mr. Mr. Sanjay Gupta|01472 257630|Principal|birlashikshakendra@gmail.com|Asia/Kolkata|IN
null|Birla Shishu Vihar Vidya Vihar|Pilani Distt Jhunjhunu Rajasthan|N/A|RJ|333031|null|Mr. Mrs M Dimri|01596 242208|Principal|hmbsv@yahoo.co.in|Asia/Kolkata|IN
null|Blooming Dales International School|2 M.L., Nathwala, Hanumangarh Road|N/A|RJ|335001|null|Meetu Sharma|01542461423|Principal|bipssgnr@rediffmail.com|Asia/Kolkata|IN
null|Blossom Academy|Blossom Academy,Suratgarh|N/A|RJ|335804|null|Mrs.Hema Mendiratta|01509-223471|Principal|blossom.academy@yahoo.com|Asia/Kolkata|IN
null|Bright India Public School|70, Defence Colony Foysagar Road Ajmer 305005|N/A|RJ|305005|null|Suresh Chandra Arora|07805 01452600013|Principal|bright123@gmail.com|Asia/Kolkata|IN
null|Brightland Girls Sr Sec School|C Block Vaishali Marg Vaishali Nagar Jaipur Rajasthan|N/A|RJ|302021|null|Mrs. Anjali Kumar|0141 23510412350831|Principal|aappka@hotmail.com|Asia/Kolkata|IN
null|Brightlands Convent School|Padampur By Pass,Opp Radhaswami Dera, 4 Ml|N/A|RJ|335001|null|Leena Gumber|01542460120|Principal|lalitdoda_65@rediffmail.com|Asia/Kolkata|IN
null|Bsn Academy|Nanta (Kunari)|N/A|RJ|324009|null|Anil Kumawat|0744-3208080|Principal|bsnacademy@gmail.com|Asia/Kolkata|IN
null|Cambridge Kids Garden Public School'''' Simani|Vpo Simani Teh Buhana Dist Jhunjhunu (Raj)|N/A|RJ|333502|null|Jp Sharma|01593218901|Principal|aishly.publicschool@rediffmail.com|Asia/Kolkata|IN
null|Candlewick Pub Sch|Sec -Ii Vidyadhar Nagar Jaipur Rajasthan|N/A|RJ|302012|null|Raj Rathore|0141 336621|Principal|rajeev.shah@usa.net|Asia/Kolkata|IN
null|Ceeri Vidya Mandir|Ceeri Campus Pilani Rajasthan|N/A|RJ|333031|null|S C Sachdev|2390|Principal|akbagchi@ceeri.ernet.in|Asia/Kolkata|IN
null|Central Academy|Bhilwara Rajasthan|N/A|RJ|311001|null|Ms Abha Mittal|01482 241102|Principal|kottakkalvidyabhavan@gmail.com|Asia/Kolkata|IN
null|Central Academy|Near Water Tank Ambabari Jaipur|N/A|RJ|302012|null|Alka Mehrotra|01412334619|Principal|mishrasangam@hotmail.com|Asia/Kolkata|IN
null|Central Academy|Chopasini Housing Board Jodhpur Rajasthan|N/A|RJ|342027|null|Mr. Mrs Rashmi Bishnoi|0291 2705862|Principal|chb@centralacademy.ac.in|Asia/Kolkata|IN
null|Central Academy - 1|Khetri Copper Complex Khetri Nagar Jhunjhunu Rajasthan|N/A|RJ|333504|null|Mr C L Sharma|01593 220122|Principal|stpaulscor@yahoo.co.in|Asia/Kolkata|IN
null|Central Academy School|Police Line Road Kota Rajasthan|N/A|RJ|324001|null|Mr. Maya Singh|0744 2327925|Principal|cen._academy@yahoo.co.in|Asia/Kolkata|IN
null|Central Academy School, Pali|New Housing Board |N/A|RJ|N/A|null|Chanda Gehlot|0744 02932-324065|Principal|capali@centralacademy.ac.in|Asia/Kolkata|IN
null|Central Academy Senior Secondary School, Paota, Nandri, Jodhpur|Central Academy Senior Secondary School, Nandri, Jodhpur|N/A|RJ|342001|null|Arun Upadhyay|02912556805|Principal|capaota@centralacademy.ac.in|Asia/Kolkata|IN
null|Central Academy Sr Sec School|Shri Cement Ltd Beawar Rajasthan|N/A|RJ|305901|null|Mrs Shyama Hawa|01462 228141|Principal|petersbpr@yahoo.com|Asia/Kolkata|IN
null|Central Academy, Ajmer|Central Academy, Pragati Nagar, Kotra, Ajmer.|N/A|RJ|305004|null|Shobha Suman Mishra|0145-3290471|Principal|central_academy_school@yahoo.com|Asia/Kolkata|IN
null|Central Public Senior Secondary School|Talwandi|N/A|RJ|324005|null|R.N. Vijay|0744-2420878|Principal|cpskota@gmail.com|Asia/Kolkata|IN
null|Cfdav Public School, Gadepan, Kota|Chambal Fertilisers Dav Public School, Gadepan, P.O. Gadepan District- Kota|N/A|RJ|325007|null|M.P. Singh|07455-274466|Principal|cfdavgadepan@yahoo.com|Asia/Kolkata|IN
null|Children Academy Convent School|Delhi Road , Post Office Diwakri, Alwar|N/A|RJ|301001|null|Akhilesh Kumar|0469 01443200666|Principal|setiarajiv@yahoo.com|Asia/Kolkata|IN
null|Children Sr Secondary School|Mandana Ladpura Dadabari Kota Rajasthan|N/A|RJ|324009|null|Sh Shiv Charan Mathuriya|0744 2502560|Principal|stanselmsaburoad@rediffmail.com|Asia/Kolkata|IN
null|Chinar Public School|Vill Liwari Jaipur Road Alwar Rajasthan|N/A|RJ|301001|null|Mr. Nitish Mishra|144 2886263|Principal|chinar.school@gmail.com|Asia/Kolkata|IN
null|Chitrakoot Public School And Research Centre|Nh 11, Sujawas Road, Goriyan|N/A|RJ|332403|null|-|0 09234105000|Principal|stxavierdeoghar@sify.com|Asia/Kolkata|IN
null|Choudhary Gharsiram Public School|National Highway No-11,Laxmangarh , Sikar|N/A|RJ|332311|null|Mrs.Madhulika Singh|01573-225521|Principal|cgpslaxmangarh@gmail.com|Asia/Kolkata|IN
null|Clr Public School|Clr Public School,Delhi Road,Pilani(Raj)|N/A|RJ|333031|null|Shevani Nehra|01596246523 09414083140|Principal|clrpublicschool@gmail.com|Asia/Kolkata|IN
null|D V M Public School|Narnul Road, Behror, Distt Alwar|N/A|RJ|301701|null|Sh K P Barve|01494 512490|Principal|his.daltonganj@gmail.com|Asia/Kolkata|IN
null|Daffodils World School|Jeevan Nagar,Sanwali Road Via Bajaj Gram Sanwali,Sikar|N/A|RJ|332021|null|Rakesh Kr. Bagariya|01572274168|Principal|daffodilsworldschool@yahoo.com|Asia/Kolkata|IN
null|Dalmia Vidya Mandir|Station Road Chirawa|N/A|RJ|333026|null|Shubhra Mukerjee|01596-220602|Principal|edutrust@rediffmail.com|Asia/Kolkata|IN
null|Danial Mayo School|Sadokan Road H.O Timber Maket Nagaur|N/A|RJ|341001|null|Mr.Ummed Singh|01582-246697|Principal|danialmayo_sch@yahoo.co.in|Asia/Kolkata|IN
null|Dav Centenary Public School|Opp Nagar Palika|N/A|RJ|335062|null|Mr. Neeraj Kumar Yadav|0154 223251|Principal|bsfschoolsgnr@rediff.com|Asia/Kolkata|IN
null|Dav Centenary Public School|Anoop Garh, Sri Gangangar Rajasthan|N/A|RJ|335701|null|Sh Monu Kamra|01498 224725|Principal|sps@stpaulsbeawar.com|Asia/Kolkata|IN
null|Dav Centenary Public School|C 5 Neel Padam Sarover Marg Opp C Block Near Aamrpali Circle Vaishali Nagar Jaipur Rajasthan Rajasthan|N/A|RJ|302012|null|Mr. Ashok Kumar Sharma|0141 2351248235361|Principal|aks490bwn@gmail.com|Asia/Kolkata|IN
null|Dav Centenary Public School|Adarsh Nagar Purani Chungi Chowki Nasirabad Road Ajmer Rajashthan|N/A|RJ|305001|null|Mr. D. Sen Sharma|0145 2441242|Principal|davcent_ajm@yahoo.co.in|Asia/Kolkata|IN
null|Dav Public School|Sector C Talwandi Kota Rajasthan|N/A|RJ|324005|null|Mr. A.K. Sharma|0744 2405992|Principal|davkota@gmail.com|Asia/Kolkata|IN
null|Dayanand Public School|Nh-15 13 Km Stone Sri Ganga Nagar Road Bikaner Rajasthan|N/A|RJ|334001|null|Mrs Alka Dolly|0151 2543727|Principal|saraswatimodernschoolpsw@gmail.com|Asia/Kolkata|IN
null|Defence Public School|Vaishali Nagar E-Amrapali Circle Jaipur Rajasthan|N/A|RJ|302021|null|Mrs Jaishree Sharma|0141 2355572|Principal|dpsjpr@gmail.com|Asia/Kolkata|IN
null|Defence Secondary School|Balupura Road Adarsh Nagar Ajmer Rajasthan|N/A|RJ|305008|null|Mrs Manju Mathuria|0145 441103|Principal|stpaulscor@yahoo.co.in|Asia/Kolkata|IN
null|Delhi Public School|Jaipur Ajmer Highway Bhunkrota Jaipur Rajasthan|N/A|RJ|303011|null|Mr. Sh Kulbhushan Kain|0141 22508622250927|Principal|kkainddun@yahoo.co.in|Asia/Kolkata|IN
null|Delhi Public School|Bye Pass Road Pal Jodhpur Rajasthan|N/A|RJ|342001|null|Mr B S Yadav|0291 747849|Principal|dpsjodhpur@rediffmail.com|Asia/Kolkata|IN
null|Delhi Public School|Nh-11, Near Sewar Bridge|N/A|RJ|301001|null|Dr. Samiksha Chaturvedi|0141-2352566|Principal|sumie_bwm@yahoo.com|Asia/Kolkata|IN
null|Delhi Public School Bikaner, Bikaner|Delhi Public School Bikaner, Bikaner|N/A|RJ|334001|null|Dr.R.P.Singh|0376 o151-2233389 09251499340 09460965465|Principal|dpsbikaner@gmail.com|Asia/Kolkata|IN
null|Delhi Public School, Udaipur|Bhuwana Pratap Nagar Bye-Pass Nh -8 Udaipur -313001|N/A|RJ|313001|null|T.Srivastava|0294-2803428|Principal|email@dpsudaipur.com|Asia/Kolkata|IN
null|Divine International School|N.H.15,Tharad Road,Sanchore|N/A|RJ|343041|null|Mrs.Pratima Yadav|02979-296398|Principal|divineschool10@gmail.com|Asia/Kolkata|IN
null|Divine Public Bchool|Pratap Nagar, Behind Railway Station Baran.|N/A|RJ|325205|null|Yogesh Sharma|07453230756|Principal|agrawal.empire@gmail.com|Asia/Kolkata|IN
null|Dps Alwar|Katti Ghati, Jaipur Road, Alwar|N/A|RJ|301001|null|Jitendra Sharma|06531 0144-|Principal|dps_alwar@yahoo.com|Asia/Kolkata|IN
null|Dr.Bansi Dhar School|Shri Ram Nagar (Dcm Colony)|N/A|RJ|324004|null|Sant Kumar|0744-2480313|Principal|school@dcmsr.com|Asia/Kolkata|IN
null|Dundlod Public School|Mandawa Road, Sitsar, Jhunjhunu|N/A|RJ|333001|null|Ajeet Kumar|01592-324111|Principal|dpsdundlod@gmail.com|Asia/Kolkata|IN
null|Dundlod Vidyapeeth|Po Dundlod Distt Zhunzhunu Rajasthan|N/A|RJ|333702|null|Sh B K Sharma|01594 252695|Principal|stanselmsaburoad@rediffmail.com|Asia/Kolkata|IN
null|Eden International School|Suwana Road Bhilwara Rajasthan|N/A|RJ|311001|null|Mr. Mrs Asha Devi Mishra|01482 256609|Principal|vnsssbhl@gmail.com|Asia/Kolkata|IN
null|Eden International School|Kalyanpur Road Pagliya, Rishabhdeo|N/A|RJ|313802|null|Sanjiya Kothari|0603271 94130-22558|Principal|eisrishabhdeo@gmail.com|Asia/Kolkata|IN
null|Eminent School|Jaipur Road Diggi, Malpura (Tonk)|N/A|RJ|304504|null|Mahaveer Paliwal|01437-240186|Principal|l4lsc@rediff.com|Asia/Kolkata|IN
null|Emmanuel Mission School|Emmanuel Mission School|N/A|RJ|302012|null|John Mathew|01795 0141-2340312|Principal|johnmath@datainfosys.net|Asia/Kolkata|IN
null|Emmanuel Mission School|Talwandi Kota Rajasthan|N/A|RJ|324005|null|Mathew M L|0744 427339|Principal|samuel@christforindia.com|Asia/Kolkata|IN
null|Emmanuel Mission Sr. Sec. School|Indian Colony, Jaisalmer, Rajasthan|N/A|RJ|345001|null|G. S. Saini|0731 856153|Principal|suipsa@ad1.vsnl.net.in|Asia/Kolkata|IN
null|Emmanuel Senior Secondary School|Roop Nagar, Jalore|N/A|RJ|343001|null|M.A. Samuel|0612 02973-223185|Principal|emmanuelcare@gmail.com|Asia/Kolkata|IN
null|Emmanuel Sr Sec School|Bundi Line Line Police Road Bundi Rajasthan|N/A|RJ|323001|null|Mr John Sam|0747 2457367|Principal|alexsambundi@yahoo.com|Asia/Kolkata|IN
null|Euro International School|Chandpura Chauraha,Near Todi Nagar,Via Bajaj Gram Sanwali,Sikar|N/A|RJ|332021|null|Sunita Choudhary|01572274033|Principal|euro_i_school@yahoo.com|Asia/Kolkata|IN
null|Evergreen Public School|New Housing Board, Shastri Nagar Bhilwara Rajasthan|N/A|RJ|311001|null|Ms Sangeeta Babel|01482 251035|Principal|www.bharatmataschool@gmail.com|Asia/Kolkata|IN
null|Fabindia School|Vill.Bali Dt.Pali Rajasthan|N/A|RJ|306701|null|Mr. Smt. Parinita Ranpal|02938 222168|Principal|ranpalparinitia@yahoo.co.in|Asia/Kolkata|IN
null|Fateh Public School|Rantham Bhore Road, Distt-Sawai Madhopur|N/A|RJ|322001|null|Sh. O. P. Poonia|07462 220811|Principal|mukesh@saraswaticrafts.com|Asia/Kolkata|IN
null|Fellowship Mission School|Gram Bhamoria,Bad Ke Balaji,Ajmer Road,Jaipur|N/A|RJ|302026|null|Mrs.Christina Higgins|0341 0141-2168648|Principal|johns@dil.in|Asia/Kolkata|IN
null|Flower Kids Public School|Panchvati,Sagwara,Distt-Dungarpur(Raj)Pin-314027|N/A|RJ|314027|null|Mr.Govind Ram Vyas|02966320428|Principal|vnp_fkps@ymail.com|Asia/Kolkata|IN
null|Froebel Children'S School|Banar Road Jodhpur Distt Jodhpur Rajasthan|N/A|RJ|342010|null|Mrs Maradhar Kanwar|0291 2263424|Principal|stpaulscor@yahoo.co.in|Asia/Kolkata|IN
null|Future Foundation The School|Beawar Road Pisangan Ajmer|N/A|RJ|305204|null|Mr.Sudesh Sharma|01452309150|Principal|fftheschool@gmail.com|Asia/Kolkata|IN
null|G M School|G M School Village Mothuka Bansur|N/A|RJ|301402|null|Deepa Choudhary|01461246189|Principal|rajtaxak@gmail.com|Asia/Kolkata|IN
null|G R Global Academy|Benad Road Macheda Jaipur Rajasthan|N/A|RJ|302013|null|Mr. R K Dahiya|0141 2261485|Principal|gr_global@cbse.nic|Asia/Kolkata|IN
null|G S Jangid Memorial School|Vill Bhujavar Near Gangana Village Po Doli Barmer Road Jodhpur Rajasthan|N/A|RJ|334001|null|Dr Rekha Sankhla|0291 742381|Principal|gs.jangidschool@rediffmail.com|Asia/Kolkata|IN
null|G. B. Modi Vidya Mandir|Ambedkar Nagar, Jhunjhunu|N/A|RJ|333001|null|Sundar Shyam Kukreti|0159 2233367|Principal|kukreti.ss@gmail.com|Asia/Kolkata|IN
null|G. R. Global Academy|G. R. Global Academy|N/A|RJ|335802|null|Mathew George|0121 01505-211393 211394 9414045024|Principal|admin@sbss.ac.in|Asia/Kolkata|IN
null|Ganganagar Public School|7-E-Choti,Hanumangarh Road|N/A|RJ|335001|null|Jaskanwal Kaur|01542462329|Principal|mastijassi@yahoo.co.in|Asia/Kolkata|IN
null|Genius Little Flower Public School|Ward No. 03|N/A|RJ|335803|null|Nirmlesh|01462 235211|Principal|petersbpr@yahoo.com|Asia/Kolkata|IN
null|Global Indian International School|Siriyade Nagar, Near Shikargarh Palace, Nandra Kalla|N/A|RJ|342027|null|Dhirendra Singh|0291-2100616|Principal|sschoudhary2009@gmail.com|Asia/Kolkata|IN
null|Goenka Public School|Sikar Lachhmangarh Road Ghaosu Po Khuri Bari Distt Sikar Raj|N/A|RJ|332313|null|Mrs. Mrs Sudha Bhatia|01573 232955|Principal|gps.gier@gmail.com|Asia/Kolkata|IN
null|Golden Public School|Gaj Singhpur, Padam Pur|N/A|RJ|335024|null|Ms. Ritu Raj Kaur|01498 231231|Principal|sps@stpaulsbeawar.com|Asia/Kolkata|IN
null|Good Shepherd Public School|Adjoining Padhimathi Bed College Sector 8 Jawharnagar Sri Ganganagar Rajasthan|N/A|RJ|335001|null|Mr. R.K.Wadhwa|0154 2460271|Principal|principal@goodshepherd.co.in|Asia/Kolkata|IN
null|Green Valley Public School|Pansal Road Bhilwara Rajasthan|N/A|RJ|311001|null|Mrs Mohika Pruthi|01482 241383|Principal|mps_kota@yahoo.com|Asia/Kolkata|IN
null|Gudha International School|Gudha Gorji, Dist- Jhunjhunu (Rajasthan)|N/A|RJ|333022|null|Kanchan Behl|01594-345811|Principal|satyendrakj@rediffmail.com|Asia/Kolkata|IN
null|Guru Harkrishan Public School|Teen Puli Sri Ganga Nagar Rajasthan|N/A|RJ|335001|null|Mr. Man Preet Singh Wig|0154 2440403|Principal|ghpsgnr@hotmail.com|Asia/Kolkata|IN
null|Guru Harkrishan Public School|Hanumangarh Rajasthan|N/A|RJ|335512|null|Mr L K Brar|05946 63641|Principal|sostcvby16369@yahoo.com|Asia/Kolkata|IN
null|Guru Nanak Public School|Kota Bundi Road Badgaon Ladpura Kota Rajasthan|N/A|RJ|324008|null|Sh R P Gupta|0744 2371587|Principal|stpaulscor@yahoo.co.in|Asia/Kolkata|IN
null|Guru Siddharth International School|Bijaynagar Road, Behind Central Jail|N/A|RJ|305901|null|Pankaj Sharma|03862 01462326075|Principal|info@gurusiddharth.com|Asia/Kolkata|IN
null|Gurukul B.L. Mohta Learning Institute|Napasar-Gusaisar Road, Sinthal Bikaner 334002|N/A|RJ|334002|null|Chinmoy Ghosh|0151-2762681|Principal|gurukulresume@sify.com|Asia/Kolkata|IN
null|Gurukul International School|Gurukul International School, Harsawa, Tehsil-Fatehpur, Dist.Sikar, Rajasthan|N/A|RJ|332301|null|Jyoti Ranjan Patra|01571-291291 284451|Principal|gurukulprincipal.harsawa@gmail.com|Asia/Kolkata|IN
null|Gyan Bharati International School|N.H. 65,Rukansar(Ramgarh Shekhawati)|N/A|RJ|331024|null|Mr.Vinay Kumar Tiwari|01571-291391|Principal|gbis_rukansar@rediffmail.com|Asia/Kolkata|IN
null|Gyan Vihar Co-Educational Eng. Med.|School D-Block Malviya Nagar Jaipur Rajasthan|N/A|RJ|302017|null|Mr. Dr A K Pandey|0141 25538602553025|Principal|edutrust@rediffmail.com|Asia/Kolkata|IN
null|H G International School|P B No.30 Abu Road Dt.Sirohi Rajasthan|N/A|RJ|307026|null|Mr. J.P. Singh|02974 222945|Principal|hgis@rediffmail.com|Asia/Kolkata|IN
null|Happy Public School|Swami Dayanand Marg Alwar Rajasthan|N/A|RJ|301001|null|Sanjay Asheka|700957|Principal|happypublicschoolalwar@rediffmail.com|Asia/Kolkata|IN
null|Hari Devi Jhutharam Shishu Sadan|Chirawa Road, Pilani (Jhunjhunu), Rajasthan|N/A|RJ|333031|null|Dr. J S Kuntal|01498 242184|Principal|sps@stpaulsbeawar.com|Asia/Kolkata|IN
null|Hi-Tech School Of Hi-Tech Shikshan Sansthan|Hi-Tech School, Hi-Tech Shikshan Sansthan, Sikar Road, Post - Kuchaman City|N/A|RJ|341508|null|Surendra Prakash Sharma|0181 01586-220886|Principal|hitechkuchamancity@yahoo.com|Asia/Kolkata|IN
null|Hillgrove Col'S Academy|Behind Mahaveer Hospital, Koliwara Road, Sumerpur,Dist- Pali (Rajasthan)|N/A|RJ|306902|null|Mary Fransisca Rhine|09251187703|Principal|rsr744@yahoo.com|Asia/Kolkata|IN
null|Hind Zinc School|Zinc Nagar Kapasan Road Chittorgarh Rajasthan|N/A|RJ|312001|null|Mrs. Geeta Nair|01472 242662244726|Principal|sgfgte@gmail.com|Asia/Kolkata|IN
null|Hindustan International Academy|Near Hurapura Opp Chittrakoot 200 Sikar Bye Pass Ajmer Road Jaipur Rajasthan|N/A|RJ|302024|null|Mrs Archana Addya|0141 2356887|Principal|mps_kota@yahoo.com|Asia/Kolkata|IN
null|Hindustan International School|Sehi Kalan Road, Surajgarh Moad|N/A|RJ|333026|null|Narendra Doot|01596220294|Principal|hindustaninternationalschool@gmail.com|Asia/Kolkata|IN
null|Ideal Public School|Hisar Road Rajgarh Churu (Raj)|N/A|RJ|331023|null|Prakash|01559-226016|Principal|idealschool.118@rediffmail.com|Asia/Kolkata|IN
null|Immanuel Mission School|P O Zawar Mines Distt Udaipur Rajasthan|N/A|RJ|313901|null|Rakhi Singh|0294 2726245|Principal|finlyabraham@rediffmail.com|Asia/Kolkata|IN
null|India International School|Kshipra Path, Mansarover Jaipur Rajasthan|N/A|RJ|302020|null|Dr Ashok Gupta|0141 2397906|Principal|iis@icfia.org|Asia/Kolkata|IN
null|Indian Public School|Near Nariya,Adrash Nagar|N/A|RJ|311404|null|Mr. Kanhaiya Lal Purohit|01484223401 01484290555|Principal|ppareek2005@rediffmail.com|Asia/Kolkata|IN
null|Indo Bharat International School|Unit-1, Kings Road, Shiv Shakti Nagar, Jaipur|N/A|RJ|302019|null|Rajesh Jaiswal|01412399602|Principal|ashokpmundra@yahoo.com|Asia/Kolkata|IN
null|Instrumentation School|I L Township Kota Rajasthan|N/A|RJ|324005|null|Mrs. Saroj Shrivastava|0744 2422280|Principal|ilschool.tiwari2010@gmail.com|Asia/Kolkata|IN
null|Jai Public School|Jeet Nagar, Basant Vihar|N/A|RJ|333001|null|D.S. Gupta|0476 01592231015|Principal|jai.school@yahoo.com|Asia/Kolkata|IN
null|Jaipur School|Sector-6 Vidya Dhar Nagar Jaipur Rajasthan|N/A|RJ|302012|null|Mrs Rekha Narula|01786 223489|Principal|hilltop@glide.net.in|Asia/Kolkata|IN
null|Jaipuria Vidyalaya|Jawahar Lal Nehru Marg Jaipur Rajasthan|N/A|RJ|302017|null|Dr Mrs Anita Dandiya|2551495|Principal|jaidrink@datainfosys.net|Asia/Kolkata|IN
null|Janki Devi Memorial Public School|V&P.O.Beenj Pur|N/A|RJ|100001|null|Sandeep Grover|9416594202|Principal|shubham0goyal@gmail.com|Asia/Kolkata|IN
null|Jankidevi Public School, Jaipur|Pratap Nagar, Sec-19, Sanganer|N/A|RJ|302022|null|Kalpana Kadiyan|1413131010 3123030|Principal|jpsinjaipur@yahoo.com|Asia/Kolkata|IN
null|Janta Girls Public School|Sector No 1 Shipra Path Mansarovar Jaipur Rajasthan|N/A|RJ|302011|null|Mr. Vikram Vijayran|0141 2393138|Principal|jgpsjaipur@gmail.com|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Khairthal Distt Alwar Rajasthan|N/A|RJ|301404|null|K P Mathur|01907 22197|Principal|mbncoll@ap.nic.in|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Mandaphia Chittorgarh Distt Rajasthan|N/A|RJ|312024|null|Mr. Rohit Saraswat|01470 242639|Principal|rohitsaraswat123@rediffmail.com|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Tilwasni P.O. Bhawi Distt Jodhpur Rajasthan|N/A|RJ|342605|null|Nath Mal Dahiya|0172 695146|Principal|jnvbangaloreurban@yahoo.com|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Jojawar Teh-Marwar Pali Distt Rajasthan|N/A|RJ|306022|null|J P Upreti|01882 4523|Principal|jnvbangaloreurban@yahoo.com|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Pachpahar Bhawanimandi Jhalawar Rajasthan|N/A|RJ|326502|null|Mr R C Thyagi|01882 22193|Principal|jnvbangaloreurban@yahoo.com|Asia/Kolkata|IN
